timestamp,project_uuid,project_numeric_id,device,sheet,usina,modulo,tipo,equipamento_id,pressao,rpm,status_1,status_2,gps,pressao_aspersor,gps_aspersor,pressao_carretel,gps_carretel,velocidade_recolhimento,metragem_mangueira,codigo,bomba_operando,gps_valido,label,gps_aspersor_valido,gps_carretel_valido,is_ok,is_falha,pressao_num,rpm_num,pressao_aspersor_num,pressao_carretel_num,velocidade_recolhimento_num,metragem_mangueira_num,null_count,diagnosticos_corrigidos,BOMBA_OFFLINE,GPS_BOMBA_PROBLEMA,PRESSAO_BOMBA_NULA,CARRETEL_OFFLINE,ASPERSOR_OFFLINE,GPS_ASPERSOR_PROBLEMA,GPS_CARRETEL_PROBLEMA,RECOLHIMENTO_ZERADO,label_corrigido,is_falha_corrigido,is_ok_corrigido
"2026-05-21 11:30:13,000",331f9d12-c068-47f8-842e-f02a7e96d4f0,59,Device/RADCOM_6627,GERAL,UMOE,FRENTE 1,bomba,7,Null,Null,Null,Null,Null,,,,,,,,0,0,BOMBA_OFFLINE,,,0,1,,,,,,,3,BOMBA_OFFLINE;GPS_BOMBA_PROBLEMA,1,1,0,0,0,0,0,0,BOMBA_OFFLINE,1,0
"2026-05-21 11:30:13,000",331f9d12-c068-47f8-842e-f02a7e96d4f0,59,Device/RADCOM_6627,GERAL,UMOE,FRENTE 1,bomba,0,Null,0,82,00000100,-19.390363/-48.303685,,,,,,,,0,1,PRESSAO_BOMBA_NULA,,,0,1,,0.0,,,,,1,BOMBA_OFFLINE,1,0,0,0,0,0,0,0,BOMBA_OFFLINE,1,0
"2026-05-21 11:30:13,000",331f9d12-c068-47f8-842e-f02a7e96d4f0,59,Device/RADCOM_6627,GERAL,UMOE,FRENTE 1,carretel,1,,,,00000011,Null,0.15,-19.405765/-48.285844,0.34,Null,0.0,126.0,4624M00,0,0,GPS_CARRETEL_PROBLEMA,1.0,0.0,0,1,,,0.15,0.34,0.0,126.0,2,GPS_CARRETEL_PROBLEMA,0,0,0,0,0,0,1,0,GPS_CARRETEL_PROBLEMA,1,0
"2026-05-21 11:30:13,000",331f9d12-c068-47f8-842e-f02a7e96d4f0,59,Device/RADCOM_6627,GERAL,UMOE,FRENTE 1,carretel,3,,,,00000011,-19.393920/-48.318925,Null,Null,0.29,-19.393920/-48.318925,0.0,188.0,3349M00,0,1,ASPERSOR_OFFLINE,0.0,1.0,0,1,,,,0.29,0.0,188.0,2,ASPERSOR_OFFLINE;GPS_ASPERSOR_PROBLEMA,0,0,0,0,1,1,0,0,ASPERSOR_OFFLINE,1,0
"2026-05-21 11:30:13,000",331f9d12-c068-47f8-842e-f02a7e96d4f0,59,Device/RADCOM_6627,GERAL,UMOE,FRENTE 1,carretel,5,,,,00000011,-19.378262/-48.318384,0.12,-19.404792/-48.300737,0.28,-19.378262/-48.318384,0.0,64.0,4767M00,0,1,OK,1.0,1.0,1,0,,,0.12,0.28,0.0,64.0,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:31:13,000",aaf4edc0-ee4d-4e4d-9e98-1e6d2f08f33e,61,Device/RADCOM_5789,GERAL,USA MURILLO,MÓDULO 6,bomba,30,Null,Null,Null,Null,Null,,,,,,,,1,0,BOMBA_OFFLINE,,,0,1,,,,,,,3,BOMBA_OFFLINE;GPS_BOMBA_PROBLEMA,1,1,0,0,0,0,0,0,BOMBA_OFFLINE,1,0
"2026-05-21 11:31:13,000",aaf4edc0-ee4d-4e4d-9e98-1e6d2f08f33e,61,Device/RADCOM_5789,GERAL,USA MURILLO,MÓDULO 6,bomba,31,1.26,975,60,00000100,-19.374137/-48.311057,,,,,,,,1,1,OK,,,1,0,1.26,975.0,,,,,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:31:13,000",aaf4edc0-ee4d-4e4d-9e98-1e6d2f08f33e,61,Device/RADCOM_5789,GERAL,USA MURILLO,MÓDULO 6,carretel,32,,,,00000011,-19.385564/-48.289742,Null,Null,0.27,-19.385564/-48.289742,6.0,126.0,3956M00,1,1,ASPERSOR_OFFLINE,0.0,1.0,0,1,,,,0.27,6.0,126.0,2,ASPERSOR_OFFLINE;GPS_ASPERSOR_PROBLEMA,0,0,0,0,1,1,0,0,ASPERSOR_OFFLINE,1,0
"2026-05-21 11:31:13,000",aaf4edc0-ee4d-4e4d-9e98-1e6d2f08f33e,61,Device/RADCOM_5789,GERAL,USA MURILLO,MÓDULO 6,carretel,34,,,,00000010,Null,0.00,Null,0.0,Null,0.0,0.0,0M00,1,0,CARRETEL_OFFLINE,0.0,0.0,0,1,,,0.0,0.0,0.0,0.0,3,CARRETEL_OFFLINE,0,0,0,1,0,0,0,0,CARRETEL_OFFLINE,1,0
"2026-05-21 11:31:13,000",aaf4edc0-ee4d-4e4d-9e98-1e6d2f08f33e,61,Device/RADCOM_5789,GERAL,USA MURILLO,MÓDULO 6,carretel,36,,,,00000011,-19.380899/-48.292288,0.05,-19.390390/-48.332637,0.24,-19.380899/-48.292288,5.0,217.0,4972M00,1,1,OK,1.0,1.0,1,0,,,0.05,0.24,5.0,217.0,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:32:13,000",99892dd8-4fa4-4c1d-b500-c158ca13cee6,99,Device/RADCOM_1433,GERAL,CEDRO,FRENTE 1,bomba,30,1.47,817,74,00000100,-19.382481/-48.285538,,,,,,,,1,1,OK,,,1,0,1.47,817.0,,,,,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:32:13,000",99892dd8-4fa4-4c1d-b500-c158ca13cee6,99,Device/RADCOM_1433,GERAL,CEDRO,FRENTE 1,bomba,31,1.29,0,90,00000000,-19.395786/-48.317966,,,,,,,,1,1,OK,,,1,0,1.29,0.0,,,,,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:32:13,000",99892dd8-4fa4-4c1d-b500-c158ca13cee6,99,Device/RADCOM_1433,GERAL,CEDRO,FRENTE 1,carretel,32,,,,00000011,-19.391192/-48.281344,0.14,-19.407756/-48.335615,0.3,-19.391192/-48.281344,8.0,131.0,3274M00,1,1,OK,1.0,1.0,1,0,,,0.14,0.3,8.0,131.0,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:32:13,000",99892dd8-4fa4-4c1d-b500-c158ca13cee6,99,Device/RADCOM_1433,GERAL,CEDRO,FRENTE 1,carretel,34,,,,00000011,-19.391701/-48.308724,Null,Null,0.15,-19.391701/-48.308724,10.0,297.0,3185M00,1,1,ASPERSOR_OFFLINE,0.0,1.0,0,1,,,,0.15,10.0,297.0,2,ASPERSOR_OFFLINE;GPS_ASPERSOR_PROBLEMA,0,0,0,0,1,1,0,0,ASPERSOR_OFFLINE,1,0
"2026-05-21 11:32:13,000",99892dd8-4fa4-4c1d-b500-c158ca13cee6,99,Device/RADCOM_1433,GERAL,CEDRO,FRENTE 1,carretel,36,,,,00000011,-19.397508/-48.296494,0.08,-19.387580/-48.336095,0.33,-19.397508/-48.296494,4.0,66.0,3585M00,1,1,OK,1.0,1.0,1,0,,,0.08,0.33,4.0,66.0,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:33:13,000",348848bd-b201-4f34-b6e5-1ddf870b3575,20,Device/RADCOM_4024,GERAL,USA LUCIANO,MÓDULO 1,bomba,3,Null,981,69,00000000,-19.387725/-48.294186,,,,,,,,1,1,PRESSAO_BOMBA_NULA,,,0,1,,981.0,,,,,1,PRESSAO_BOMBA_NULA,0,0,1,0,0,0,0,0,PRESSAO_BOMBA_NULA,1,0
"2026-05-21 11:33:13,000",348848bd-b201-4f34-b6e5-1ddf870b3575,20,Device/RADCOM_4024,GERAL,USA LUCIANO,MÓDULO 1,bomba,4,1.38,1063,69,00000100,-19.392799/-48.308204,,,,,,,,1,1,OK,,,1,0,1.38,1063.0,,,,,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:33:13,000",348848bd-b201-4f34-b6e5-1ddf870b3575,20,Device/RADCOM_4024,GERAL,USA LUCIANO,MÓDULO 1,carretel,5,,,,00000011,-19.392257/-48.304505,0.05,-19.390553/-48.287436,0.3,-19.392257/-48.304505,0.0,213.0,3588M00,1,1,RECOLHIMENTO_ZERADO_COM_BOMBA_OPERANDO,1.0,1.0,0,1,,,0.05,0.3,0.0,213.0,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:33:13,000",348848bd-b201-4f34-b6e5-1ddf870b3575,20,Device/RADCOM_4024,GERAL,USA LUCIANO,MÓDULO 1,carretel,7,,,,00000011,-19.397429/-48.304838,0.06,-19.409291/-48.284846,0.24,-19.397429/-48.304838,7.0,11.0,4955M00,1,1,OK,1.0,1.0,1,0,,,0.06,0.24,7.0,11.0,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:33:13,000",348848bd-b201-4f34-b6e5-1ddf870b3575,20,Device/RADCOM_4024,GERAL,USA LUCIANO,MÓDULO 1,carretel,9,,,,00000011,-19.373847/-48.306452,0.02,-19.406465/-48.321398,0.22,-19.373847/-48.306452,6.0,53.0,3753M00,1,1,OK,1.0,1.0,1,0,,,0.02,0.22,6.0,53.0,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:34:13,000",b0bfc10a-3805-478b-9161-e35f2479054d,59,Device/RADCOM_9679,GERAL,USA LUCIANO,MÓDULO 1,bomba,3,1.56,0,73,00000100,Null,,,,,,,,0,0,GPS_BOMBA_PROBLEMA,,,0,1,1.56,0.0,,,,,1,GPS_BOMBA_PROBLEMA,0,1,0,0,0,0,0,0,GPS_BOMBA_PROBLEMA,1,0
"2026-05-21 11:34:13,000",b0bfc10a-3805-478b-9161-e35f2479054d,59,Device/RADCOM_9679,GERAL,USA LUCIANO,MÓDULO 1,bomba,4,1.4,0,65,00000100,-19.374326/-48.293270,,,,,,,,0,1,OK,,,1,0,1.4,0.0,,,,,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:34:13,000",b0bfc10a-3805-478b-9161-e35f2479054d,59,Device/RADCOM_9679,GERAL,USA LUCIANO,MÓDULO 1,carretel,5,,,,00000011,-19.378032/-48.308728,0.05,-19.376049/-48.317988,0.38,-19.378032/-48.308728,0.0,9.0,3809M00,0,1,OK,1.0,1.0,1,0,,,0.05,0.38,0.0,9.0,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:34:13,000",b0bfc10a-3805-478b-9161-e35f2479054d,59,Device/RADCOM_9679,GERAL,USA LUCIANO,MÓDULO 1,carretel,7,,,,00000011,-19.383339/-48.304747,0.16,Null,0.37,-19.383339/-48.304747,0.0,207.0,4330M00,0,1,GPS_ASPERSOR_PROBLEMA,0.0,1.0,0,1,,,0.16,0.37,0.0,207.0,1,GPS_ASPERSOR_PROBLEMA,0,0,0,0,0,1,0,0,GPS_ASPERSOR_PROBLEMA,1,0
"2026-05-21 11:34:13,000",b0bfc10a-3805-478b-9161-e35f2479054d,59,Device/RADCOM_9679,GERAL,USA LUCIANO,MÓDULO 1,carretel,9,,,,00000011,-19.391644/-48.328220,0.16,Null,0.45,-19.391644/-48.328220,0.0,199.0,3174M00,0,1,GPS_ASPERSOR_PROBLEMA,0.0,1.0,0,1,,,0.16,0.45,0.0,199.0,1,GPS_ASPERSOR_PROBLEMA,0,0,0,0,0,1,0,0,GPS_ASPERSOR_PROBLEMA,1,0
"2026-05-21 11:35:13,000",f6e23384-b8f2-483d-ab6b-337532c8efb2,69,Device/RADCOM_7772,GERAL,UMOE,FRENTE 1,bomba,7,Null,Null,Null,Null,Null,,,,,,,,1,0,BOMBA_OFFLINE,,,0,1,,,,,,,3,BOMBA_OFFLINE;GPS_BOMBA_PROBLEMA,1,1,0,0,0,0,0,0,BOMBA_OFFLINE,1,0
"2026-05-21 11:35:13,000",f6e23384-b8f2-483d-ab6b-337532c8efb2,69,Device/RADCOM_7772,GERAL,UMOE,FRENTE 1,bomba,0,1.31,976,69,00000000,-19.391632/-48.318439,,,,,,,,1,1,OK,,,1,0,1.31,976.0,,,,,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:35:13,000",f6e23384-b8f2-483d-ab6b-337532c8efb2,69,Device/RADCOM_7772,GERAL,UMOE,FRENTE 1,carretel,1,,,,00000011,-19.373454/-48.338391,0.2,Null,0.11,-19.373454/-48.338391,6.0,58.0,4800M00,1,1,GPS_ASPERSOR_PROBLEMA,0.0,1.0,0,1,,,0.2,0.11,6.0,58.0,1,GPS_ASPERSOR_PROBLEMA,0,0,0,0,0,1,0,0,GPS_ASPERSOR_PROBLEMA,1,0
"2026-05-21 11:35:13,000",f6e23384-b8f2-483d-ab6b-337532c8efb2,69,Device/RADCOM_7772,GERAL,UMOE,FRENTE 1,carretel,3,,,,00000011,-19.376174/-48.281317,0.13,-19.404635/-48.321343,0.38,-19.376174/-48.281317,5.0,200.0,3621M00,1,1,OK,1.0,1.0,1,0,,,0.13,0.38,5.0,200.0,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:35:13,000",f6e23384-b8f2-483d-ab6b-337532c8efb2,69,Device/RADCOM_7772,GERAL,UMOE,FRENTE 1,carretel,5,,,,00000011,-19.405139/-48.316329,0.08,-19.403900/-48.292338,0.23,-19.405139/-48.316329,0.0,282.0,3858M00,1,1,RECOLHIMENTO_ZERADO_COM_BOMBA_OPERANDO,1.0,1.0,0,1,,,0.08,0.23,0.0,282.0,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:36:13,000",6c423258-8345-450c-86e4-b8fa6e4d2b46,12,Device/RADCOM_5473,GERAL,USA LUCIANO,MÓDULO 4,bomba,40,1.43,0,58,00000000,-19.375709/-48.296159,,,,,,,,0,1,OK,,,1,0,1.43,0.0,,,,,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:36:13,000",6c423258-8345-450c-86e4-b8fa6e4d2b46,12,Device/RADCOM_5473,GERAL,USA LUCIANO,MÓDULO 4,bomba,41,1.47,0,64,00000000,-19.401974/-48.329951,,,,,,,,0,1,OK,,,1,0,1.47,0.0,,,,,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:36:13,000",6c423258-8345-450c-86e4-b8fa6e4d2b46,12,Device/RADCOM_5473,GERAL,USA LUCIANO,MÓDULO 4,carretel,42,,,,00000011,-19.408867/-48.282863,0.11,-19.388079/-48.299963,0.41,-19.408867/-48.282863,0.0,27.0,4022M00,0,1,OK,1.0,1.0,1,0,,,0.11,0.41,0.0,27.0,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:36:13,000",6c423258-8345-450c-86e4-b8fa6e4d2b46,12,Device/RADCOM_5473,GERAL,USA LUCIANO,MÓDULO 4,carretel,44,,,,00000011,-19.390593/-48.302781,0.02,-19.384822/-48.307703,0.12,-19.390593/-48.302781,0.0,225.0,4192M00,0,1,OK,1.0,1.0,1,0,,,0.02,0.12,0.0,225.0,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:36:13,000",6c423258-8345-450c-86e4-b8fa6e4d2b46,12,Device/RADCOM_5473,GERAL,USA LUCIANO,MÓDULO 4,carretel,46,,,,00000011,-19.397795/-48.316637,0.06,-19.390804/-48.316128,0.48,-19.397795/-48.316637,0.0,233.0,3299M00,0,1,OK,1.0,1.0,1,0,,,0.06,0.48,0.0,233.0,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:37:13,000",7528bf17-4d1a-4c9e-b618-a14e0f8e686c,45,Device/RADCOM_4535,GERAL,USA LUCIANO,MÓDULO 1,bomba,3,1.36,0,79,00000100,Null,,,,,,,,1,0,GPS_BOMBA_PROBLEMA,,,0,1,1.36,0.0,,,,,1,GPS_BOMBA_PROBLEMA,0,1,0,0,0,0,0,0,GPS_BOMBA_PROBLEMA,1,0
"2026-05-21 11:37:13,000",7528bf17-4d1a-4c9e-b618-a14e0f8e686c,45,Device/RADCOM_4535,GERAL,USA LUCIANO,MÓDULO 1,bomba,4,1.54,727,55,00000000,Null,,,,,,,,1,0,GPS_BOMBA_PROBLEMA,,,0,1,1.54,727.0,,,,,1,GPS_BOMBA_PROBLEMA,0,1,0,0,0,0,0,0,GPS_BOMBA_PROBLEMA,1,0
"2026-05-21 11:37:13,000",7528bf17-4d1a-4c9e-b618-a14e0f8e686c,45,Device/RADCOM_4535,GERAL,USA LUCIANO,MÓDULO 1,carretel,5,,,,00000011,-19.381500/-48.288395,Null,Null,0.25,-19.381500/-48.288395,10.0,295.0,3695M00,1,1,ASPERSOR_OFFLINE,0.0,1.0,0,1,,,,0.25,10.0,295.0,2,ASPERSOR_OFFLINE;GPS_ASPERSOR_PROBLEMA,0,0,0,0,1,1,0,0,ASPERSOR_OFFLINE,1,0
"2026-05-21 11:37:13,000",7528bf17-4d1a-4c9e-b618-a14e0f8e686c,45,Device/RADCOM_4535,GERAL,USA LUCIANO,MÓDULO 1,carretel,7,,,,00000011,-19.386151/-48.318017,0.18,-19.406396/-48.311677,0.37,-19.386151/-48.318017,6.0,286.0,3506M00,1,1,OK,1.0,1.0,1,0,,,0.18,0.37,6.0,286.0,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:37:13,000",7528bf17-4d1a-4c9e-b618-a14e0f8e686c,45,Device/RADCOM_4535,GERAL,USA LUCIANO,MÓDULO 1,carretel,9,,,,00000011,Null,0.05,-19.394174/-48.304436,0.3,Null,4.0,16.0,3184M00,1,0,GPS_CARRETEL_PROBLEMA,1.0,0.0,0,1,,,0.05,0.3,4.0,16.0,2,GPS_CARRETEL_PROBLEMA,0,0,0,0,0,0,1,0,GPS_CARRETEL_PROBLEMA,1,0
"2026-05-21 11:38:13,000",a9ed1f75-ff0f-4f1d-845d-c93071b31147,17,Device/RADCOM_3618,GERAL,USA MURILLO,MÓDULO 5,bomba,40,1.31,1054,78,00000000,Null,,,,,,,,1,0,GPS_BOMBA_PROBLEMA,,,0,1,1.31,1054.0,,,,,1,GPS_BOMBA_PROBLEMA,0,1,0,0,0,0,0,0,GPS_BOMBA_PROBLEMA,1,0
"2026-05-21 11:38:13,000",a9ed1f75-ff0f-4f1d-845d-c93071b31147,17,Device/RADCOM_3618,GERAL,USA MURILLO,MÓDULO 5,bomba,41,Null,Null,Null,Null,Null,,,,,,,,1,0,BOMBA_OFFLINE,,,0,1,,,,,,,3,BOMBA_OFFLINE;GPS_BOMBA_PROBLEMA,1,1,0,0,0,0,0,0,BOMBA_OFFLINE,1,0
"2026-05-21 11:38:13,000",a9ed1f75-ff0f-4f1d-845d-c93071b31147,17,Device/RADCOM_3618,GERAL,USA MURILLO,MÓDULO 5,carretel,42,,,,00000011,-19.391178/-48.331435,Null,Null,0.44,-19.391178/-48.331435,8.0,72.0,3274M00,1,1,ASPERSOR_OFFLINE,0.0,1.0,0,1,,,,0.44,8.0,72.0,2,ASPERSOR_OFFLINE;GPS_ASPERSOR_PROBLEMA,0,0,0,0,1,1,0,0,ASPERSOR_OFFLINE,1,0
"2026-05-21 11:38:13,000",a9ed1f75-ff0f-4f1d-845d-c93071b31147,17,Device/RADCOM_3618,GERAL,USA MURILLO,MÓDULO 5,carretel,44,,,,00000011,-19.405586/-48.309345,0.00,-19.399547/-48.313103,0.13,-19.405586/-48.309345,6.0,208.0,3796M00,1,1,PRESSAO_ASPERSOR_SUSPEITA,1.0,1.0,0,1,,,0.0,0.13,6.0,208.0,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:38:13,000",a9ed1f75-ff0f-4f1d-845d-c93071b31147,17,Device/RADCOM_3618,GERAL,USA MURILLO,MÓDULO 5,carretel,46,,,,00000011,Null,0.16,-19.408799/-48.330275,0.38,Null,8.0,107.0,4810M00,1,0,GPS_CARRETEL_PROBLEMA,1.0,0.0,0,1,,,0.16,0.38,8.0,107.0,2,GPS_CARRETEL_PROBLEMA,0,0,0,0,0,0,1,0,GPS_CARRETEL_PROBLEMA,1,0
"2026-05-21 11:39:13,000",cc5e7781-d2d5-4e47-bbd0-d4a7cd615347,34,Device/RADCOM_3879,GERAL,CMAA UVT,FRENTE 2,bomba,10,1.39,902,62,00000100,Null,,,,,,,,1,0,GPS_BOMBA_PROBLEMA,,,0,1,1.39,902.0,,,,,1,GPS_BOMBA_PROBLEMA,0,1,0,0,0,0,0,0,GPS_BOMBA_PROBLEMA,1,0
"2026-05-21 11:39:13,000",cc5e7781-d2d5-4e47-bbd0-d4a7cd615347,34,Device/RADCOM_3879,GERAL,CMAA UVT,FRENTE 2,bomba,11,1.58,950,73,00000100,-19.405508/-48.332563,,,,,,,,1,1,OK,,,1,0,1.58,950.0,,,,,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:39:13,000",cc5e7781-d2d5-4e47-bbd0-d4a7cd615347,34,Device/RADCOM_3879,GERAL,CMAA UVT,FRENTE 2,carretel,12,,,,00000011,-19.386654/-48.287530,0.14,-19.395254/-48.335493,0.16,-19.386654/-48.287530,2.0,218.0,3438M00,1,1,OK,1.0,1.0,1,0,,,0.14,0.16,2.0,218.0,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:39:13,000",cc5e7781-d2d5-4e47-bbd0-d4a7cd615347,34,Device/RADCOM_3879,GERAL,CMAA UVT,FRENTE 2,carretel,14,,,,00000011,-19.397098/-48.339110,0.00,-19.379842/-48.334009,0.29,-19.397098/-48.339110,5.0,71.0,4197M00,1,1,PRESSAO_ASPERSOR_SUSPEITA,1.0,1.0,0,1,,,0.0,0.29,5.0,71.0,0,OK,0,0,0,0,0,0,0,0,OK,0,1
"2026-05-21 11:39:13,000",cc5e7781-d2d5-4e47-bbd0-d4a7cd615347,34,Device/RADCOM_3879,GERAL,CMAA UVT,FRENTE 2,carretel,16,,,,00000011,Null,0.02,-19.392486/-48.303580,0.44,Null,5.0,109.0,3875M00,1,0,GPS_CARRETEL_PROBLEMA,1.0,0.0,0,1,,,0.02,0.44,5.0,109.0,2,GPS_CARRETEL_PROBLEMA,0,0,0,0,0,0,1,0,GPS_CARRETEL_PROBLEMA,1,0
"2026-05-21 11:40:13,000",5f472279-d46b-490f-aac2-7c2e1857bca9,98,Device/RADCOM_9509,GERAL,USA MURILLO,MÓDULO 5,bomba,40,1.52,0,79,00000100,-19.376873/-48.293814,,,,,,,,0,1,OK,,,1,0,1.52,0.0,,,,,0,OK,0,0,0,0,0,0,0,0,OK,0,1
